661	Fiksni telefon panasonic KX-T-7565 C	SEFP
662	Kabinet sa ladicama	MBL
664	Kabinet sa ladicama	MBL
666	Bu?ilica makita HR-4500C	SIT
667	Merdevine metalne velike	SIT
668	Polica aluminijska	PSV
671	Monitor	NULL
672	Ra?unar-ku?i?te	PRODAJA SA
676	Ra?unar-ku?i?te	NULL
677	Monitor	NULL
678	Ra?unar-server	PS
679	Monitor	NULL
680	Ra?unar	NULL
681	Police za artikle	PT
682	Police za artikle	PT
683	Police za artikle	PT
684	Police za artikle	PT
685	Police za artikle	PT
686	Ormar-plakar ugaoni	SSA
687	Polica drvena kutna 1	SM
688	Polica za registratore	SSA
689	Polica za registratore	SSA
690	Radni sto ugaoni	SSA
691	Radni sto	Servis SA
692	Stolica	NULL
693	Fiksni Telefon panasonic KX-T-7030X	NULL
694	Telefon KX-T 2371	SSA
695	Polica za papir	SM
696	Ormar za registratore	SSA
697	Radni sto	NULL
698	Radni sto + ormari? sa ladicama	PRODAJA SA
699	Radna stolica	PRODAJA SA
702	Fiksni telefon Panasonic KX-TS 15MX-W	PRODAJA SA
703	Fiksni telefon KX-TCD 400	NULL
704	Fiksni telefon panasonic KX-T-2371 FXW	PRODAJA SA
705	Fiksni telefon panasonic KX-T-2371 FXW	KL
707	Telefonska centrala Panasonic KX-TA308	KL
708	ISDN priklju?ak	SSA
711	UPS smart 700	SSA
712	Ormar-plakar	SSA
713	Polica za registratore-drvo	SM
714	Polica za registratore-drvo	SM
715	Ormar za registrator	SSA
716	Fiksni telefon panasonic KX-TSC 500	SSA
718	PP aparat 1	SSA
719	PP aparat 2	SSA
720	Tabla za pisanje Dahle	KL
721	Polica metalna 1x11	KL
723	Pokretni sto	SSA
727	Fiksni telefon panasonic KX-TS 5MX	SSA
728	Usisiva? 3M	Servis SA
734	Klije?ta za krimpovanje	NULL
735	Metalna polica	SSA
736	?ajna kuhinja 1/3 lavabo,fri?ider,el.pe?	SPL
737	Kuhinja vise?a	SPL
738	Bojler	SSA
739	Bojler plinski	SSA
741	Radni sto + ormari? sa ladicama	PRODAJA SA
742	Polica za registratore	ML
743	Polica za registratore	ML
744	Polica za registratore	PT
745	Polica za registratore drvena	KL
746	Vetrine (staklo-drvo)	PT
747	Vetrine (staklo-drvo)	PT
748	Polica za registratore	ML
749	Polica za registratore	ML
750	IP telefon panasonic centrala KX-T-2371	PRODAJA SA
751	ISDN priklju?ak	KL
752	Radni sto + ormari? sa ladicama	PRODAJA SA
753	Radni sto + ormari? sa ladicama	PRODAJA SA
754	Radni sto +  ormari? sa ladicama	KL
755	Radni sto	SM
756	Stol mali za goste	ML
757	Polica za registratore-drvo	KL
758	Polica za registratore-drvo	KL
759	Polica za registratore-drvo	KL
760	Ormar drveni zeleni 1	KL
761	Ormar drveni zeleni 2	KL
762	Ormar drveni zeleni 3	KL
763	Radni sto sa ormari?em za ladice	PRODAJA SA
764	Radni sto - za sastanke	PRODAJA SA
765	Stolica	KL
766	Radna stolica	KL
767	Ormari-plakari ugaoni	PRODAJA SA
768	Ormari-plakari  ugaoni	PRODAJA SA
769	Telefon panasonic KX-T-2371 FXW	PT
770	ISDN priklju?ak	PRODAJA SA
